Institution,course_number,Launch Date,Course Title,Instructors,Course Subject,Topics,Description,TopicsLearned,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
MITx,24.09x,11/17/2015,Philosophy: Minds and Machines,Alex Byrne,"Humanities, History, Design, Religion, and Education","Philosophy,Ethics",What is the relationship between the mind and the body? Can computers think? Do we perceive reality as it is? Can there be a science of consciousness?,"The basics of argumentation, Some central arguments for and against the view that a sufficiently powerful computer can think (AI), The main theories of mental states and their relations to physical states, Some central arguments for and against the view that the world is not as we perceive it to be, What the ""hard problem of consciousness"" is",4,1,10837,997,383,9.2,3.53,37.81,61.87,7.93,8.41,94.63,73.07,29,73.34,26.66,67.25
MITx,24.118x,06/09/2015,Paradox and Infinity,Augustin Rayo,"Humanities, History, Design, Religion, and Education","Philosophy,Ethics","In Paradox and Infinity, you will be introduced to highlights from the intersection of philosophy and mathematics","You will learn how to prove a number of beautiful theorems, including Cantor's Theorem, the Banach-Tarski Theorem, and Godel's Theorem., You will acquire the ability to think rigorously about paradoxes and other open-ended problems., You will learn about phenomena at the boundaries of our theorizing, where our standard mathematical tools are not always effective.",3,1,12426,1990,699,16.01,5.63,35.13,73.7,7.39,19.5,83.98,43.53,27,74.85,25.15,61.12
MITx,3.032.1x,09/09/2015,Mechanical Behavior of Materials: Linear Elastic Behavior,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,"Part 1 covers stress-strain behavior, topics in linear elasticity and the atomic basis for linear elasticity, and composite materials.","The behavior of linear elastic materials, The atomic basis for linear elasticity, How to solve mechanics problems relating to stress, strain, and strain energy",4,1,6577,2392,445,36.37,6.77,18.27,63.21,4.64,13.2,40.32,32.79,25,83.34,16.66,67.57
MITx,3.032.2x,10/14/2015,"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,"Part 2 covers stress transformations, beam bending, column buckling, and cellular materials.","Concepts relating to stress transformation, including equivalent stresses, principal stresses, and maximum shear stress, How to solve stress transformation problems using Mohr’s circle, How to solve problems relating to beam bending and column buckling, How the stiffness and strength of cellular materials depend on their mechanisms of deformation and failure",4,1,3178,1810,320,56.95,10.07,17.62,55.44,4.56,15.8,20.12,31.84,25,86.14,13.86,69.15
MITx,3.032.3x,11/11/2015,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,"Part 3 covers viscoelasticity (behavior intermediate to that of an elastic solid and that of a viscous fluid), plasticity (permanent deformation), creep in crystalline materials (time dependent behavior), brittle fracture (rapid crack propagation) and fatigue (failure due to repeated loading of a material).","Concepts and problem solving skills relating to viscoelasticity, plasticity, and high temperature creep of crystalline solids, Concepts and problem solving skills relating to fracture, and fatigue, The relationship between the behavior of materials at an atomistic level and the continuum response of materials",4,1,2075,753,179,36.29,8.63,23.51,53.69,4.24,15.71,14.81,43.47,25,85.25,14.75,75.33
MITx,3.032x,09/03/2014,Mechanical Behavior of Materials,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,"The 3.032x series provides an introduction to the mechanical behavior of materials, from both the continuum and atomistic points of view. At the continuum level, we learn how forces and displacements translate into stress and strain distributions within the material. At the atomistic level, we learn the mechanisms that control the mechanical properties of materials. Examples are drawn from metals, ceramics, glasses, polymers, biomaterials, composites and cellular materials.",,3,1,11841,1532,502,12.94,4.24,32.77,62.87,4.9,13.95,81.04,63.12,25,84.01,15.99,65.85
MITx,3.054.1x,01/27/2016,"Cellular Solids: Structures, Properties and Engineering Applications",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,"The Cellular Solids: Structures, Properties and Engineering Applications course provides a general understanding of cellular solids. Following this module, learners will be prepared to take one or both add-on modules to learn more about applications in medicine and to cellular materials in nature:","How cellular solids are made, How to characterize the microstructure of cellular solids, How to model the mechanical behavior of honeycombs and foams, Application of the models in devices for energy absorption and sandwich panels",4,1,2456,403,99,16.41,4.03,24.57,55.82,4.11,10.34,16.98,73.52,26,79.53,20.47,72.65
MITx,3.054.2x,04/08/2016,Cellular Solids: Applications in Medicine,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,This course should be taken with 3.054.1x: Cellular Solids Part 1.,"Application of the foam models to trabecular bone, Modeling of bone loss in osteoporosis, Application of foam models to tissue engineering scaffolds, Case study on the design of an osteochondral scaffold, The contractile behavior of biological cells on scaffolds",4,1,510,416,53,81.57,10.39,12.74,47.84,5.1,16.47,2.53,26.52,27,73.36,26.64,73.97
MITx,3.054.3x,05/11/2016,Cellular Solids: Applications in Nature,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",Engineering,"This course should be taken with Cellular Solids 1 for a complete survey of the structure, properties, and engineering applications of cellular solids that occur in nature.","How to apply models for honeycombs to the mechanics of wood and cork, The behavior of natural sandwich structures such as the leaves of monocotyledon plants and animal skulls, How to analyze the mechanics of natural cellular solids with density gradients, such as palm stems and bamboo, Examples of engineering design inspired by natural cellular solids",4,1,362,283,24,78.18,6.63,8.48,45.86,7.18,12.71,1.55,23.31,28,77.21,22.79,80.07
MITx,3.072x,02/10/2015,"Symmetry, Structure and Tensor Properties of Materials",Eugene Fitzgerald,"Science, Technology, Engineering, and Mathematics",Engineering,"Symmetry, Structure and Tensor Properties of Materials",,3,1,5448,404,31,7.42,0.57,7.67,55.49,2.24,10.55,11.54,73.46,26,83.12,16.88,69.8
MITx,3.086x,09/16/2013,Innovation and Commercialization,Gene Fitzgerald,"Government, Health, and Social Science",Business & Management,"People innovate, not organizations. This course is for anybody who wants to understand the innovation process - whether you want to foster innovation within your organization or whether you want to personally innovate.","The iterative innovation process, The interconnection of Markets, Implementation, and Technology, How to research and develop a Technology, Market, and Implementation universe for an innovative idea, How to research and assess areas of uncertainty",2,1,25619,1727,616,6.74,2.4,35.67,68.34,10.58,27.94,101.36,45.18,30,79.14,20.86,77.42
MITx,3.091x,10/09/2012,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",Chemistry,"This first-year University chemistry course explores the basic principles of the chemical bond by studying the properties of solids. Properties such as stiffness, electrical conductivity, thermal expansion, strength, and optical properties are the vehicle by which you can learn a great deal of practical chemistry.","You will develop your “chemical intuition” , A quantitative understanding of chemical principles, Understanding of crystal structure and its relationship to properties, Materials properties such as conductivity, optical transmission, stiffness, thermal expansion, and strength, An understanding of electronic structure, chemical bonding, and atomic order and arrangements",1,1,16663,2855,2082,17.13,12.49,72.85,87.49,14.42,34.89,227.55,61.28,27,70.32,29.68,58.76
MITx,3.15.1x,05/25/2016,Electronic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",Engineering,"In this engineering course, you will learn about diodes, bipolar junction transistors, MOSFETs and semiconductor properties.","The origins of semiconductor properties, Carrier action in semiconductors: drift, diffusion, recombination and generation, The behavior of p-n junctions at equilibrium and under bias, The derivation and application of the ideal diode equation, and how real diodes differ from ideal diodes, Operating principles of bipolar junction transistors and MOSFETs",4,0,7898,2066,94,26.16,1.19,4.55,56.24,2.14,9.01,28.25,53.65,24,85.28,14.72,56.87
MITx,3.15.2x,06/29/2016,Optical Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",Engineering,"In this engineering course, you will learn about photodetectors, solar cells (photovoltaics), displays, light emitting diodes, lasers, optical fibers, optical communications, and photonic devices.","The fundamental operating principles of photodevices, LED and heterojunction laser materials selection and design, Fundamentals of organic electronics and liquid crystal displays, An overview of photonic systems, Optical fibers: dispersion, losses, and design choices",4,0,2335,792,65,33.92,2.78,8.21,50.71,4.03,13.83,11.1,41.1,24,82.87,17.13,63.95
MITx,3.15.3x,08/03/2016,Magnetic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",Engineering,"In this engineering course, you will learn about magnetic materials and devices. Applications presented include magnetic data storage, motors, transformers, and spintronics.","Fundamentals of magnetism, The role anisotropy plays in the magnetic behavior of materials, The operating principles of transformers and DC motors, How data is stored on hard disks, Principles of optical and magnetooptical storage",4,0,1294,364,38,28.13,2.94,10.44,49.92,4.4,14.3,6.87,40.59,25,85.95,14.05,65.78
MITx,3.15x,04/08/2015,"Electrical, Optical and Magnetic Materials and Devices",Caroline Ross,"Science, Technology, Engineering, and Mathematics",Materials Science and Engineering,"This course explores the relationships which exist between the performance of electrical, optical, and magnetic devices and the microstructural characteristics of the materials from which they are constructed. The class uses a device-motivated approach which emphasizes emerging technologies. Device applications of physical phenomena are considered, including electrical conductivity and doping, transistors, photodetectors and photovoltaics, luminescence, light emitting diodes, lasers, optical phenomena, photonics, ferromagnetism, and magnetoresistance.",,3,1,10626,685,113,6.45,1.06,16.5,50.84,1.38,7.15,30.79,99.23,25,86.95,13.05,60.39
MITx,4.605x,09/23/2014,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",History,"How do we understand architecture? One way of answering this question is by looking through the lens of history, beginning with First Societies and extending to the 16th century. This course in architectural history is not intended as a linear narrative, but rather aims to provide a more global view, by focusing on different architectural ""moments.""","History and context of the important buildings that shaped our culture, History of technological advances that significantly impacted the development of architecture, Impacts of certain cultural and religious traditions on architecture, History of climate and geographical changes that shaped human civilization and its architecture",3,1,7052,1093,543,15.5,7.7,49.68,61.06,7.54,30.01,54.46,51.76,29,48.56,51.44,74.88
MITx,6.00.1x,10/16/2013,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,Computer Science,"This course is offered online and we understand that there are many opportunities available to cheat. We caution you to not do so. You will learn less and only harm yourself by cheating. We ask that you review our collaboration and forum guidelines, available on the course handouts page, to understand how we expect our students to conduct themselves in this course. Additionally all students are expected to follow the edX Honor Code, available at https://www.edx.org/honor","A Notion of computation, The Python programming language, Some simple algorithms, Testing and debugging, An informal introduction to algorithmic complexity, Data structures",2,1,57147,8248,4975,14.43,8.71,60.23,76.86,9.47,43.16,523.56,53.05,28,82.95,17.05,62.73
MITx,6.00.2x,03/05/2014,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",Computer Science,Computer Science,6.00.2x will teach you how to use computation to accomplish a variety of goals and provides you with a brief introduction to a variety of topics in computational problem solving . This course is aimed at students with some prior programming experience in Python and a rudimentary knowledge of computational complexity,"Advanced programming in Python 3, Knapsack problem, Graphs and graph optimization, Dynamic programming, Plotting with the pylab package, Random walks, Probability, Distributions, Monte Carlo simulations, Curve fitting, Statistical fallacies",2,1,13148,2512,1502,19.11,11.42,59.63,69.27,7.33,32.57,97.28,38.44,29,87.9,12.1,74.21
MITx,6.002.1x,09/29/2015,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",Electronics,"Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuits course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you.","How to design and analyze circuits using the node method, superposition, and the Thevenin method, How to employ lumped circuit models and abstraction to simplify circuit analysis, How to use intuition to solve circuits, Construction of simple digital gates using MOSFET transistors, Measurement of circuit variables using tools such as virtual oscilloscopes, virtual multimeters, and virtual signal generators",4,1,38119,5451,591,14.3,1.55,10.62,69.08,2.01,1.55,174.06,48.13,25,87.36,12.64,52.02
MITx,6.002.2x,09/29/2015,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",Electronics,"Want to learn how to construct an amplifier for mobile phones? Wondering how energy storage elements like capacitors and inductors work, or how to make microchips run faster? This free circuits course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you.","How to build amplifiers using MOSFETs, How to use intuition to describe the approximate time and frequency behavior of first-order circuits containing energy storage elements like capacitors and inductors, The relationship between the mathematical representation of first-order circuit behavior and corresponding real-life effects, How to improve the speed of digital circuits, Measurement of circuit variables using tools such as virtual oscilloscopes, virtual multimeters, and virtual signal generators, How to compare the measurements with the behavior predicted by mathematical models and explain the discrepancies",4,1,6146,1266,171,20.6,2.78,13.35,48.97,1.46,2.78,28.65,52.62,24,89.55,10.45,58.46
MITx,6.002.3x,09/29/2015,Circuits and Electronics: Applications,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",Electronics,"Want to learn how your radio works? Wondering how to implement filters using resistors, inductors, and capacitors? Wondering what are some other applications of RLC and CMOS circuits? This free circuits course, taught by edX CEO and MIT Professor Anant Agarwal and MIT colleagues, is for you.","How to construct and analyze filters using capacitors and inductors, How to use intuition to describe the approximate time and frequency behavior of second-order circuits containing energy storage elements (capacitors and inductors), The relationship between the mathematical representation of first-order circuit behavior and corresponding real-life effects, Circuits applications using op-amps, Measurement of circuit variables using tools such as virtual oscilloscopes, virtual multimeters, and virtual signal generators, How to compare the measurements with the behavior predicted by mathematical models and explain the discrepancies",4,1,5566,805,95,14.46,1.71,11.18,44.39,1.04,1.71,17.95,53.73,24,88.81,11.19,59.47
MITx,6.002x,09/05/2012,Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",Electronics,"Want to learn about circuits and electronics? Wondering how the electronics behind sensors and actuators works, or how to make computers run faster, or your mobile phone battery last longer? This series of circuits and electronics courses taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you.","How to design and analyze circuits using both intuition and mathematical analysis, How to construct simple digital circuits and improve their speed, How to construct and analyze filters and their frequency response using capacitors and inductors, Design circuits applications using MOS transistors and operational amplifiers, How to measure circuit variables using tools such as virtual oscilloscopes, virtual multimeters, virtual frequency analyzers, and virtual signal generators, Compare the measurements of the circuit variables with the behavior predicted by mathematical models and explain the discrepancies",1,1,36105,5431,3003,15.04,8.32,54.98,83.2,8.17,28.97,418.94,64.45,26,88.28,11.72,60.68
MITx,6.004.1x,03/03/2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,Computer Science,"This is Part 1 of a 3-part series on digital systems, teaching the fundamentals of digital circuit design and is based on a course offered by the MIT Department of Electrical Engineering and Computer Science. Topics include digital encoding of information, principles of digital signaling; combinational and sequential logic, implementation in CMOS, useful canonical forms, synthesis; latency, throughput and pipelining.","How to efficiently and reliably encode information using bits, The basics of digital signaling, combinational logic, CMOS technologies, The principles of sequential logic and finite state machines, Performance measures and design tradeoffs",3,1,15530,2363,805,15.22,5.18,33.81,64.37,5.71,14.92,126.65,72.18,26,89.5,10.5,59.24
MITx,6.004.2x,11/17/2015,Computation Structures: Computer Architecture,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,Computer Science,"This is Part 2 of a 3-part series on digital systems, teaching the fundamentals of computer architecture and is based on a course offered by the MIT Department of Electrical Engineering and Computer Science. Topics include instruction set architectures and assembly language, stacks and procedures, 32-bit computer architecture, the memory hierarchy, and caches.","The design of a processor instruction set architecture, How to translate high-level programs into sequences of computer instructions, The design of the datapath and control logic for a 32-bit processor, The role of caches in the memory hierarchy",4,1,8495,1161,406,13.67,4.78,34.97,49.38,4.13,7.68,56.13,80.09,25,88.58,11.42,61.03
MITx,6.00x,09/26/2012,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,Computer Science,"6.00x is an introduction to using computation to solve real problems. The course is aimed at students with little or no prior programming experience who have a desire (or at least a need) to understand computational approaches to problem solving. Some of the people taking the course will use it as a stepping stone to more advanced computer science courses, but for many, it will be their first and last computer science course.",,1,1,62709,8949,5783,14.27,9.22,64.05,89.14,14.38,39.5,884.04,78.53,28,83.5,16.5,63.04
MITx,6.041x,02/04/2014,Introduction to Probability: The Science of Uncertainty,John Tsitsiklis,"Science, Technology, Engineering, and Mathematics",Data Analysis & Statistics,"Probabilistic models use the language of mathematics. But instead of relying on the traditional ""theorem-proof"" format, we develop the material in an intuitive -- but still rigorous and mathematically-precise -- manner. Furthermore, while the applications are multiple and evident, we emphasize the basic concepts and methodologies that are universally applicable.","The basic structure and elements of probabilistic models, Random variables, their distributions, means, and variances, Probabilistic calculations, Inference methods, Laws of large numbers and their applications, Random processes",2,1,26364,2927,592,11.1,2.25,20.23,65.57,3.98,17.78,224.14,120.16,28,83.54,16.46,73.15
MITx,6.302.0x,08/01/2016,Introduction to Control System Design,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",Computer Science,"Have you wondered about the design strategies behind temperature controllers, quad-copters, or self-balancing scooters? Are you interested in robotics, and have heard of, or tried, “line-following"" or “PID control” and want to understand more?","How to set up a control system and understand and optimize its performance (the Arduino-controlled propeller-levitated arm), Modeling Feedback Control systems Using Difference Equations, What unstable systems are like, practically and mathematically, How to measure control system performance, How proportional, delta (aka derivative) and summation (aka integral) feedback reduce tracking errors and increase disturbance rejection",4,0,3937,974,49,24.74,1.24,5.03,12.27,4.72,8.23,15.62,58.5,24,91.17,8.83,61.32
MITx,6.302.1x,08/01/2016,Introduction to State Space Control,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",Engineering,"Learn physical, computational, and measured-data approaches to state-space modeling and control, by building a copter-levitated arm and then designing and testing high-performance microcontroller-based positioning systems.","State Space Methodology, State Space Control and Feedback, Observers, Black-box modeling from Frequency Domain Data",4,0,1431,208,8,14.54,0.56,3.85,0,3.84,5.73,3.22,62.38,25,93.44,6.56,72.31
MITx,6.341x,02/03/2015,Discrete-Time Signal Processing,"Oppenheim, Baran","Science, Technology, Engineering, and Mathematics",Computer Science,"6.341x is designed to provide both an in-depth and an intuitive understanding of the theory behind modern discrete-time signal processing systems and applications. The course begins with a review and extension of the basics of signal processing including a discussion of group delay and minimum-phase systems, and the use of discrete-time (DT) systems for processing of continuous-time (CT) signals. The course develops flow-graph and block diagram structures including lattice filters for implementing DT systems, and techniques for the design of DT filters. Parametric signal modeling and the efficient implementation of DT multirate and sampling rate conversion systems are discussed and developed. An in-depth development of the DFT and its computation as well as its use for spectral analysis and for filtering is presented",,3,1,7396,532,144,7.19,1.95,27.07,64.06,2.99,16.87,48.98,151.31,27,91.4,8.6,72.54
MITx,6.832x,10/01/2014,Underactuated Robotics,Russ Tedrake,"Science, Technology, Engineering, and Mathematics",Computer Science,"This course introduces nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.","Algorithms for Walking, Running, Swimming, Flying, and Manipulation",3,1,11074,1599,136,14.44,1.23,8.51,67.84,3.75,8.39,41.65,61.21,25,91.97,8.03,61.38
MITx,6.SFMx,04/08/2014,Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang","Science, Technology, Engineering, and Mathematics",Math,"Teaches, as the antidote to rigor mortis, the art of educated guessing and opportunistic problem solving. You will learn this skill by mastering six reasoning tools---dimensional analysis, easy cases, lumping, pictorial reasoning, taking out the big part, and analogy. The applications will include mental calculation, estimating population growth rates, understanding drag without differential equations, singing musical intervals to estimate logarithms, approximating integrals, summing infinite series, and turning differential equations into algebra.",,2,1,27882,3464,567,12.42,2.03,16.37,66.49,5.74,20.52,56.9,28.32,29,84.17,15.83,66.85
MITx,7.00x,03/05/2013,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",Biology,"7.00x is an introductory level biology course hosted by professor Eric Lander, who was one of the leaders of the Human Genome Project. The course content reflects the topics taught in the MIT introductory biology courses and many biology courses across the world. As a learner, you will first focus on the structure and function of macromolecules such as DNA, RNA and proteins. You will discover how changes in the structure of some of these macromolecules alter their functions and what the implications of such changes have on human health. As you continue in the course, you will apply an understanding of heredity and information flow within cells to human health and disease and will learn about molecular biological techniques and their potential to impact our changing world","How to describe the building blocks of life and how their interactions dictate structure and function in biology, How to predict genotypes and phenotypes given genetics data, How to explain the central dogma of molecular biology and convert DNA sequence to RNA sequence to protein sequence, How to use molecular tools to study biology, How to describe the principles of early sequencing as well as modern sequencing and the effects of these technologies on the filed of genomics, How to apply the principles of modern biology to issues in today's society",1,1,28535,6109,3242,21.41,11.36,52.92,84.62,33.14,38.85,476.84,72.8,30,57.79,42.21,68.15
MITx,7.28.1x,03/10/2015,Molecular Biology: DNA Replication and Repair,"Stephen Bell, Tania Baker","Science, Technology, Engineering, and Mathematics","Biology, Life Sciences","An in-depth adventure through DNA replication and repair to strengthen your scientific thinking and experimental design skills. You’re acquainted with your DNA, but did you know that your cells synthesize enough DNA during your lifetime to stretch a lightyear in length? How does the cellular machinery accomplish such a feat without making more mistakes than you can survive? Why isn’t the incidence of cancer even higher than it is? And, if the DNA in each and every cell is two meters long, how is this genetic material compacted to fit inside the cell nucleus without becoming a tangled mess?","How to compare and contrast the mechanisms of DNA replication in prokaryotes and eukaryotes, Howto describe several enzymatic mechanisms that the cell uses to repair or tolerate DNA damage, How to analyze protein structures to infer functional information, How to designmethods for the best experiment to test a hypothesis related to DNA replication or repair proteins, Howto interpret data from DNA replication and repair experiments",3,1,7723,1567,430,20.29,5.57,27.44,69.33,6.32,30.45,98.6,94.34,28,58.52,41.48,70.24
MITx,7.28.1x1,06/07/2016,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics","Biology, Life Sciences","An in-depth adventure through DNA replication and repair to strengthen your scientific thinking and experimental design skills. You’re acquainted with your DNA, but did you know that your cells synthesize enough DNA during your lifetime to stretch a lightyear in length? How does the cellular machinery accomplish such a feat without making more mistakes than you can survive? Why isn’t the incidence of cancer even higher than it is? And, if the DNA in each and every cell is two meters long, how is this genetic material compacted to fit inside the cell nucleus without becoming a tangled mess?","How to compare and contrast the mechanisms of DNA replication in prokaryotes and eukaryotes, Howto describe several enzymatic mechanisms that the cell uses to repair or tolerate DNA damage, How to analyze protein structures to infer functional information, How to designmethods for the best experiment to test a hypothesis related to DNA replication or repair proteins, Howto interpret data from DNA replication and repair experiments",4,0,4825,715,92,14.82,1.91,12.87,67.83,5.37,33.49,29.82,49.8,26,54.56,45.44,68.23
MITx,7.28.2x,10/27/2015,Molecular Biology: Transcription and Transposition,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics","Biology, Life Sciences","In Part 2 of this Molecular Biology course, you’ll explore transcription of DNA to RNA, a key part of the central dogma of biology and the first step of gene expression., , Did you know that transposable elements, the genetic information that can move from location to location, make up roughly 50 % of the human genome? Did you know that scientists have linked their movement into specific genes to the causes of certain diseases? You’ll also learn how these “jumping genes” work and how scientists study them in Molecular Biology: Transcription and Transposition.","How to compare and contrast transcription in prokaryotes and eukaryotes, How to describe several mechanisms of transposition, How to analyze protein structures to infer functional information, How todesign the best experiment to test a hypothesis, How to interpret data from transcription and transposition experiments",4,1,2860,920,333,32.17,11.64,36.2,63.64,6.78,33.36,47.23,77.55,29,59.1,40.9,76.33
MITx,7.QBWx,06/12/2014,Quantitative Biology Workshop,Marry Ellen Wiltrout,"Science, Technology, Engineering, and Mathematics","Biology, Life Sciences",Do you have an interest in biology and quantitative tools? Do you know computational methods but do not realize how they apply to biological problems? Do you know biology but do not understand how scientists really analyze complicated data? 7.QBWx: Quantitative Biology Workshop is designed to give learners exposure to the application of quantitative tools to analyze biological data at an introductory level,"Apply quantitative methods to biological problems, Define computational vocabulary, Write Python, MATLAB, and R code to analyze biological data, Examine any protein structure in PyMOL, Analyze how to answer a scientific question through a step-by-step thought process.",2,1,5092,1027,392,20.17,7.7,38.17,67.07,12.02,26.1,39.96,36.44,29,64.41,35.59,76.43
MITx,8.01x,09/09/2013,Classical Mechanics,Walter Lewin,"Science, Technology, Engineering, and Mathematics",Physics,"This first course in the physics curriculum introduces classical mechanics. Historically, a set of core concepts—space, time, mass, force, momentum, torque, and angular momentum—were introduced in classical mechanics in order to solve the most famous physics problem, the motion of the planets., , The principles of mechanics successfully described many other phenomena encountered in the world. Conservation laws involving energy, momentum and angular momentum provided a second parallel approach to solving many of the same problems. In this course, we will investigate both approaches: Force and conservation laws.",,2,1,35903,4051,1822,11.28,5.07,44.98,78.02,10.27,25.93,452.55,111.34,25,83.26,16.74,51.75
MITx,8.02x,02/18/2013,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",Electricity,"serves as an introduction to the magnetic field, how it is created by currents and magnetic materials, induction and inductors, and AC circuits. begins with the nature of the magnetic field and how it is created by current distributions and magnetic materials. Next, Faraday’s law of induction is described, as well as some of its applications and interesting effects. Finally, inductors and AC circuits are covered, including RLC circuits, reactances of circuit elements, and resonance.",,1,1,39178,3543,1722,9.04,4.4,48.49,85.3,5.86,16.04,380.35,107.88,26,85.42,14.58,56.97
MITx,8.05.1x,02/17/2016,Mastering Quantum Mechanics: Wave Mechanics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",Physics,This physics course offers a sophisticated view of quantum mechanics and its proper mathematical foundation. In this first module of three you will review the basics of wave mechanics and be introduced to the variational principle. You will learn about the technology of spin one-half states and spin operators and get an in-depth look into linear algebra to establish the mathematical foundation necessary to do quantum mechanics. This course concludes by developing the bra-ket notation of Dirac.,"Basics of Wave Mechanics, Simple Applications of The Variational Principle, Spin one-half and Spin Operators, Linear Algebra, Bra-ket notation",4,0,8936,1270,55,14.21,0.62,4.33,73.06,5.14,14.67,72.3,111.02,25,86.78,13.22,61.23
MITx,8.05.2x,03/23/2016,Mastering Quantum Mechanics: Quantum Dynamics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",Physics,This physics course covers Heisenberg’s uncertainty principle and the concept of compatible operators. You will also learn about the Schr?dinger and Heisenberg pictures of quantum mechanics and the coherent and squeezed states of the harmonic oscillator. The course concludes with two state systems and their applications to NMR and masers.,"Heisenberg Uncertainty Principle and compatible operators, The Schr?dinger and Heisenberg pictures of quantum mechanics, Coherent and Squeezed States, Two state systems and applications to NMR and MRI",4,0,1862,547,40,29.38,2.15,7.31,51.93,5.8,21.8,25.48,93.84,25,89.36,10.64,69.23
MITx,8.05.3x,04/27/2016,Mastering Quantum Mechanics: Entanglement and Angular Momentum,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",Physics,"This physics course introduces the concept of tensor product states to discuss entanglement and Bell inequalities. You will learn about angular momentum and its representations. This is used to understand the spectrum of central potentials and to introduce hidden symmetries. Lastly, you will learn about the addition of angular momentum and an algebraic approach to the hydrogen atom spectrum.","Entanglement and Bell inequality., Representations of Angular momentum., The Central Potential Problem., Addition of Angular Momentum., An algebraic approach to the hydrogen atom.",4,0,1236,379,35,30.66,2.83,9.23,52.43,6.15,23.38,19.33,103.22,27,91.1,8.9,71.51
